MAPNAME,DATANAME
RAVER,RAVER
REWA,REWA
ROBERTSGANJ,ROBERTSGANJ
ROHTAK,ROHTAK
SABAR KANTHA,SABARKANTHA
SAGAR,SAGAR
SAHARANPUR,SAHARANPUR
SALEM,SALEM
SALEMPUR,SALEMPUR
SAMASTIPUR,SAMASTIPUR
SAMBALPUR,SAMBALPUR
SAMBHAL,SAMBHAL
SANGLI,SANGLI
SANGRUR,SANGRUR
SANT KABIR NAGAR,SANT KABIR NAGAR
SANT RAVI DAS NAGAR (BHADOHI),BHADOHI
SARAN (CHHAPRA),SARAN
SASARAM,SASARAM
SATARA,SATARA
SATNA,SATNA
SECUNDERABAD,SECUNDERABAD
SHAHDOL,SHAHDOL
SHAHJAHANPUR,SHAHJAHANPUR
SHEOHAR,SHEOHAR
SHILLONG,SHILLONG
SHIMLA,SHIMLA
SHIMOGA,SHIMOGA
SHIRDI,SHIRDI
SHIRUR,SHIRUR
SHIVAGANGA,SHIVAGANGA
SHRAWASTI,SHRAWASTI
SHRIRAMPUR,SERAMPORE
SIDHI,SIDHI
SIKAR,SIKAR
SIKKIM,SIKKIM
SILCHAR,SILCHAR
SINGHBHUM,SINGHBHUM
SIRSA,SIRSA
SITAMARHI,SITAMARHI
SITAPUR,SITAPUR
SIWAN,SIWAN
SOLAPUR,SOLAPUR
SONIPAT,SONIPAT
SOUTH DELHI,SOUTH DELHI
SOUTH GOA,SOUTH GOA
SRIKAKULAM,SRIKAKULAM
SRINAGAR,SRINAGAR
SRIPERUMBUDUR,SRIPERUMBUDUR
SULTANPUR,SULTANPUR
SUNDARGARH,SUNDARGARH
SUPAUL,SUPAUL
SURAT,SURAT
SURENDRANAGAR,SURENDRANAGAR
SURGUJA,SARGUJA
TAMLUK,TAMLUK
TEHRI GARHWAL,TEHRI GARHWAL
TENKASI,TENKASI
TEZPUR,TEZPUR
THANE,THANE
THANJAVUR,THANJAVUR
THENI,THENI
THIRUVANANTHAPURAM,THIRVANANTHAPURAM
THOOTHUKKUDI,THOOTHUKKUDI
THRISSUR,TRICHUR
TIKAMGARH,TIKAMGARH
TIRUCHIRAPPALLI,TIRUCHIRAPPALLI
TIRUNELVELI,TIRUNELVELI
TIRUPATI,TIRUPATHI
TIRUPPUR,TIRUPPUR
TIRUVALLUR,TIRUVALLUR
TIRUVANNAMALAI,TIRUVANNAMALAI
TONK - SAWAI MADHOPUR,TONK-SAWAI MADHOPUR
TRIPURA EAST,TRIPURA EAST
TRIPURA WEST,TRIPURA WEST
TUMKUR,TUMKUR
TURA,TURA
UDAIPUR,UDAIPUR
UDHAMPUR,UDHAMPUR
UDUPI CHIKMAGALUR,UDUPI - CHIKKAMAGALORE
UJIAPUR,UJIARPUR
UJJAIN,UJJAIN
ULUBERIYA,ULUBERIA
UNNAO,UNNAO
UTTARA KANNADA,UTTARA KANNADA
VADAKARA,BADAGARA
VADODARA,BARODA
VAISHALI,VAISHALI
VALMIKI NAGAR,VALMIKI NAGAR
VALSAD,BULSAR
VARANASI,VARANASI
VELLORE,VELLORE
VIDISHA,VIDISHA
VIJAYAWADA,VIJAYAWADA
VILUPPURAM,VILUPPURAM
VIRUDUNAGAR,VIRUDHUNAGAR
VISAKHAPATNAM,VISAKHAPATNAM
VIZIANAGARAM,VIZIANAGARAM
WARANGAL,WARANGAL
WARDHA,WARDHA
WAYANAD,WAYANAD
WEST DELHI,WEST DELHI
YAVATMAL - WASHIM,YAVATMAL-WASHIM
ZAHIRABAD,ZAHEERABAD

